artsid;artsnavn;klassifikation
5902;Stormmåge, Russisk (ssp. heinei);SUB
5910;Sildemåge;Alm
5911;Sildemåge, Baltisk (ssp. fuscus);SUB
5912;Sildemåge, Britisk (ssp. graellsii);Alm
5913;Sildemåge, Nordsøsildemåge (ssp. intermedius);Alm
5915;Middelhavssølvmåge;SUB
5918;Sølvmåge x Sildemåge (hybrid);Alm
5919;Armensk Måge;SU
5920;Sølvmåge;Alm
5921;Sølvmåge, Skandinavisk (ssp. argentatus);Alm
5922;Sildemåge, Sibirisk Måge (ssp. heuglini);SU
5928;Sølvmåge, Britisk (ssp. argenteus);Alm
5930;Kaspisk Måge;Alm
5935;Sølvmåge x Kaspisk Måge (hybrid);Alm
5960;Gråvinget Måge;SU
5980;Hvidvinget Måge;SUB
5981;Hvidvinget Måge (ssp. glaucoides);SUB
5982;Hvidvinget Måge, Baffinmåge (ssp. kumlieni);SU
5983;Hvidvinget Måge, Inuitmåge (ssp. thayeri);SU
5990;Gråmåge;SUB
5999;Sølvmåge x Gråmåge (hybrid);Alm
6000;Svartbag;Alm
6010;Rosenmåge;SU
6020;Ride;Alm
6040;Ismåge;SU
6049;Måge sp.;Alm
6050;Sandterne;SUB
6060;Rovterne;Alm
6110;Splitterne;Alm
6120;Aztekerterne;SU
6140;Rosenterne;SU
6150;Fjordterne;Alm
6159;Fjordterne/Havterne;Alm
6160;Havterne;Alm
6220;Brilleterne;SU
6240;Dværgterne;Alm
6259;Terne sp.;Alm
6260;Hvidskægget Terne;SU
6270;Sortterne;Alm
6280;Hvidvinget Terne;SUB
6289;Moseterne sp.;Alm
6340;Lomvie;Alm
6341;Lomvie, Nordlig (ssp. aalge);Alm
6342;Lomvie, Britisk (ssp. albionis);Alm
6343;Lomvie, Arktisk (ssp. hyperborea);SU
6350;Polarlomvie;SU
6360;Alk;Alm
6361;Alk, Nordlig (ssp. torda);Alm
6362;Alk, Atlantisk (ssp. islandica);Alm
6369;Lomvie/Alk;Alm
6380;Tejst;Alm
6381;Tejst, Baltisk (ssp. grylle);Alm
6385;Tejst, Atlantisk (ssp. arcticus);Alm
6386;Tejst, Arktisk (ssp. mandtii);SU
6470;Søkonge;SUB
6540;Lunde;SUB
6569;Alkefugl sp.;Alm
6630;Steppehøne;SU
6650;Klippedue (tamdue);Alm
6680;Huldue;Alm
6700;Ringdue;Alm
6840;Tyrkerdue;Alm
6870;Turteldue;SUB
6890;Østlig Turteldue;SU
6950;Sørgedue;SU
7069;Due sp.;Alm
7085;[Munkeparakit];Alm
7087;[Soldaterara];Alm
7120;[Alexanderparakit];Alm
7135;[Stor Alexanderparakit];Alm
7149;Papegøje sp.;Alm
7160;Skadegøg;SU
7240;Gøg;Alm
7270;Sortnæbbet Gøg;SU
7280;Gulnæbbet Gøg;SU
7350;Slørugle;Alm
7351;Slørugle, Hvidbrystet (ssp. alba);SU
7352;Slørugle, Mørkbrystet (ssp. guttata);Alm
7390;Dværghornugle;SU
7440;Stor Hornugle;Alm
7490;Sneugle;SU
7500;Høgeugle;SU
7510;Spurveugle;SU
7570;Kirkeugle;SUB
7610;Natugle;Alm
7670;Skovhornugle;Alm
7679;Skovhornugle/Mosehornugle;Alm
7680;Mosehornugle;Alm
7700;Perleugle;SUB
7719;Ugle sp.;Alm
7780;Natravn;Alm
7810;Ørkennatravn;SU
7920;Tornhalesejler;SU
7950;Mursejler;Alm
7960;Gråsejler;SU
7970;Orientsejler;SU
7980;Alpesejler;SU
7990;Kaffersejler;SU
8000;Lille Sejler;SU
8009;Sejler sp.;Alm
8310;Isfugl;Alm
8390;Grøn Biæder;SU
8400;Biæder;SUB
8410;Ellekrage;SU
8460;Hærfugl;SUB
8480;Vendehals;Alm
8500;Guldspætte;SU
8560;Grønspætte;Alm
8630;Sortspætte;Alm
8760;Stor Flagspætte;Alm
8761;Stor Flagspætte, Nordlig (ssp. major);Alm
8764;Stor Flagspætte, Sydlig (ssp. pinetorum);Alm
8769;Stor Flagspætte x Hvidrygget Flagspætte (hybrid);Alm
8830;Mellemflagspætte;SUB
8870;Lille Flagspætte;Alm
8871;Lille Flagspætte, Nordlig (ssp. minor);Alm
8876;Lille Flagspætte, Sydlig (ssp. hortorum);Alm
8980;Tretået Spætte;SU
9019;Spætte sp.;Alm
9620;Østlig Kalanderlærke;SU
9680;Korttået Lærke;SU
9720;Toplærke;SUB
9740;Hedelærke;Alm
9760;Sanglærke;Alm
9780;Bjerglærke;Alm
9799;Lærke sp.;Alm
9810;Digesvale;Alm
9910;Klippesvale;SU
9920;Landsvale;Alm
9923;Landsvale, Libanonlandsvale (ssp. transitiva);SU
9950;Rødrygget Svale;SUB
9951;Amursvale;SU
10010;Bysvale;Alm
10018;Landsvale x Bysvale (hybrid);Alm
10019;Svale sp.;Alm
10020;Storpiber;SUB
10040;Mongolsk Piber;SU
10050;Markpiber;SUB
10080;Tajgapiber;SU
10090;Skovpiber;Alm
10110;Engpiber;Alm
10120;Rødstrubet Piber;SUB
