artsid;artsnavn;content
11396;Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus);0
04845;Sibirisk Hjejle;0
10860;Sibirisk Jernspurv;0
01830;Sibirisk Krikand;0
04786;Sibirisk Præstekrave;0
26643;Sibirisk Vipstjert;0
05910;Sildemåge;1
05911;Sildemåge, Baltisk (ssp. fuscus);0
05912;Sildemåge, Britisk (ssp. graellsii);0
05913;Sildemåge, Nordsøsildemåge (ssp. intermedius);0
05922;Sildemåge, Sibirisk Måge (ssp. heuglini);0
10480;Silkehale;1
01190;Silkehejre;1
13050;Sinkiangløvsanger;0
16649;Sisken sp.;0
12430;Sivsanger;1
11980;Sjagger;1
11989;Sjagger x Solsort (hybrid);0
07160;Skadegøg;0
02239;Skallesluger sp.;0
00720;Skarv;1
00722;Skarv, Mellemskarv (ssp. sinensis);0
00849;Skarv sp.;0
00721;Skarv, Storskarv (ssp. carbo);0
01940;Skeand;1
01946;Skeand x Blåvinget And (hybrid);0
01948;Skeand x Gråand (hybrid);0
01947;Skeand x Knarand (hybrid);0
01440;Skestork;1
07670;Skovhornugle;1
07679;Skovhornugle/Mosehornugle;0
10090;Skovpiber;1
13080;Skovsanger;1
15390;Skovskade;1
05290;Skovsneppe;1
15980;Skovspurv;1
00499;Skråpe sp.;0
13640;Skægmejse;1
10135;Skærpiber;1
03160;Slagfalk;0
02560;Slangeørn;1
07350;Slørugle;1
07351;Slørugle, Hvidbrystet (ssp. alba);0
07352;Slørugle, Mørkbrystet (ssp. guttata);0
19999;Småfugl sp. (Pibere, Finker, Spurve o.lign.);0
05380;Småspove;1
16110;Snefinke;0
01630;[Snegås];1
01639;Snegås x Bramgås (hybrid);0
05289;Sneppeklire sp.;0
18500;Snespurv;1
07490;Sneugle;1
00430;Sodfarvet Skråpe;1
07087;[Soldaterara];0
11870;Solsort;1
02130;Sortand;1
01870;Sortbrun And;0
00140;Sortbrynet Albatros;0
05100;Sortgrå Ryle;1
00120;Sorthalset Lappedykker;1
01526;[Sorthalset Svane];0
05750;Sorthovedet Måge;1
05758;Sorthovedet Måge x Hættemåge (hybrid);0
12670;Sorthovedet Sanger;0
05450;Sortklire;1
05459;Sortklire/Rødben;0
15679;Sortkrage x Gråkrage (hybrid);0
14610;Sortmejse;1
07270;Sortnæbbet Gøg;0
08630;Sortspætte;1
11390;Sortstrubet Bynkefugl;1
11393;Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans);0
11391;Sortstrubet Bynkefugl, Europæisk (ssp. rubicola);0
11972;Sortstrubet Drossel;0
10900;Sortstrubet Jernspurv;0
00030;Sortstrubet Lom;1
12690;Sortstrubet Sanger;0
01525;Sortsvane;1
06270;Sortterne;1
04670;Sortvinget Braksvale;0
02380;Sort Glente;1
02388;Sort Glente/Rød Glente;0
02382;[Sort Glente, Gulnæbbet (ssp. parasitus)];0
02389;Sort Glente x Rød Glente (hybrid);0
01360;Sort Ibis;1
01310;Sort Stork;1
15920;Spansk Spurv;0
01890;Spidsand;1
01894;Spidsand x Gråand (hybrid);0
01893;Spidsand x Pibeand (hybrid);0
05080;Spidshalet Ryle;0
06110;Splitterne;1
04870;[Sporevibe];0
12600;Spottesanger;0
05439;Spove sp.;0
02690;Spurvehøg;1
07510;Spurveugle;1
14790;Spætmejse;1
