artsnavn;bemaerk_antal
Tajgasædgås;1
Tajgasædgås/Tundrasædgås;1
Tamarisksanger;1
Tanggås;1
Tejst;1
Tejst, Arktisk (ssp. mandtii);1
Tejst, Atlantisk (ssp. arcticus);1
Tejst, Baltisk (ssp. grylle);1
Temmincksryle;1
Terekklire;1
Terne sp.;15
Thorshane;1
Tibetansk Præstekrave;1
Tinksmed;5
Tjur;1
Tophejre;1
Tophvepsevåge;1
Toplærke;1
Topmejse;5
Toppet Lappedykker;75
Toppet Lappedykker/Gråstrubet Lappedykker;75
Toppet Skallesluger;50
Toppet Skallesluger/Stor Skallesluger;50
Topskarv;1
Tornhalesejler;1
Tornirisk;75
Tornirisk/Bjergirisk;75
Tornsanger;25
Tornskade sp.;1
Trane;1
Trane sp.;1
Trane x Japansk Trane (hybrid);1
Tredækker;1
Tretået Spætte;1
Triel;1
Troldand;1000
Troldand x Bjergand (hybrid);1
Troldand/Bjergand;1
Tropeskråpe;1
Træløber;5
Træløber, Nordlig (ssp. familiaris);5
Træløber, Sydlig (ssp. macrodactyla);5
Træløber/Korttået Træløber;5
Tundrasædgås;1
Turkestantornskade;1
Turteldue;1
Tyknæbbet Dværgryle;1
Tyndnæbbet Måge;1
Tyrkerdue;50
Tårnfalk;5
Ugle sp.;1
Undulat;1
Urfugl;1
Vader sp., Lille;1000
Vader sp., Stor;500
Vagtel;1
Vandredrossel;1
Vandrefalk;1
Vandrefalk, Sibirisk (ssp. calidus);1
Vandrikse;3
Vandsanger;1
Vandstær;1
Vendehals;1
Vestlig Middelhavsstenpikker;1
Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker;1
Vibe;750
Vindrossel;100
Vindrossel, Islandsk (ssp. coburni);1
Vipstjert sp.;1
Våge sp.;100
Værling sp.;25
Wilsons Stormsvale;1
Ådselgrib;1
Ørken-/Tibetansk/Sibirisk Præstekrave;1
Ørkendompap;1
Ørkenfinke;1
Ørkenløber;1
Ørkennatravn;1
Ørkenpræstekrave;1
Ørkenstenpikker;1
Ørn sp.;1
Ørnevåge;1
Østlig Kalanderlærke;1
Østlig Kravetrappe;1
Østlig Lundsanger;1
Østlig Middelhavsstenpikker;1
Østlig Turteldue;1
