Artsid,Artsnavn,Latin,Kategori
05530,Svaleklire,Tringa ochropus,Alm
05540,Tinksmed,Tringa glareola,Alm
05550,Terekklire,Xenus cinereus,SU
05560,Mudderklire,Actitis hypoleucos,Alm
05570,Plettet Mudderklire,Actitis macularius,SU
05610,Stenvender,Arenaria interpres,Alm
05630,Amerikansk Svømmesneppe,Phalaropus tricolor,SU
05640,Odinshane,Phalaropus lobatus,SUB
05649,Odinshane/Thorshane,Phalaropus lobatus/P. fulicarius,Alm
05650,Thorshane,Phalaropus fulicarius,SUB
05658,Vader sp., Stor,Charadrii sp.,Alm
05659,Vader sp., Lille,Charadrii sp.,Alm
05660,Mellemkjove,Stercorarius pomarinus,SUB
05669,Mellemkjove/Almindelig Kjove,Stercorarius pomarinus/S. parasiticus,Alm
05670,Almindelig Kjove,Stercorarius parasiticus,Alm
05679,Almindelig Kjove/Lille Kjove,Stercorarius parasiticus/S. longicaudus,Alm
05680,Lille Kjove,Stercorarius longicaudus,SUB
05690,Storkjove,Stercorarius skua,Alm
05709,Kjove sp.,Stercorariini,Alm
05730,Stor Sorthovedet Måge,Ichthyaetus ichthyaetus,SU
05750,Sorthovedet Måge,Ichthyaetus melanocephalus,Alm
05758,Sorthovedet Måge x Hættemåge (hybrid),Ichthyaetus melanocephalus x Chroicocephalus ridibundus,Alm
05760,Lattermåge,Leucophaeus atricilla,SU
05770,Præriemåge,Leucophaeus pipixcan,SU
05780,Dværgmåge,Hydrocoloeus minutus,Alm
05790,Sabinemåge,Xema sabini,SUB
05810,Bonapartemåge,Chroicocephalus philadelphia,SU
05820,Hættemåge,Chroicocephalus ridibundus,Alm
05850,Tyndnæbbet Måge,Chroicocephalus genei,SU
05880,Audouinsmåge,Ichthyaetus audouinii,SU
05890,Ringnæbbet Måge,Larus delawarensis,SU
05900,Stormmåge,Larus canus,Alm
05901,Stormmåge (ssp. canus),Larus canus canus,Alm
05902,Stormmåge, Russisk (ssp. heinei),Larus canus heinei,SUB
05910,Sildemåge,Larus fuscus,Alm
05911,Sildemåge, Baltisk (ssp. fuscus),Larus fuscus fuscus,SUB
05912,Sildemåge, Britisk (ssp. graellsii),Larus fuscus graellsii,Alm
05913,Sildemåge, Nordsøsildemåge (ssp. intermedius),Larus fuscus intermedius,Alm
05915,Middelhavssølvmåge,Larus michahellis,SUB
05918,Sølvmåge x Sildemåge (hybrid),Larus argentatus x L. fuscus,Alm
05919,Armensk Måge,Larus armenicus,SU
05920,Sølvmåge,Larus argentatus,Alm
05921,Sølvmåge, Skandinavisk (ssp. argentatus),Larus argentatus argentatus,Alm
05928,Sølvmåge, Britisk (ssp. argenteus),Larus argentatus argenteus,Alm
05930,Kaspisk Måge,Larus cachinnans,Alm
05935,Sølvmåge x Kaspisk Måge (hybrid),Larus argentatus x L. cachinnans,Alm
05960,Gråvinget Måge,Larus glaucescens,SU
05980,Hvidvinget Måge,Larus glaucoides,SUB
05981,Hvidvinget Måge (ssp. glaucoides),Larus glaucoides glaucoides,SUB
05982,Hvidvinget Måge, Baffinmåge (ssp. kumlieni),Larus glaucoides kumlieni,SU
05983,Hvidvinget Måge, Inuitmåge (ssp. thayeri),Larus glaucoides thayeri,SU
05990,Gråmåge,Larus hyperboreus,SUB
